"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"11/07/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","20","$177.89","","-$3557.80"
"11/07/2025","Buy","KLAR","KLARNA GROUP PLC F","50","$35.39","","-$1769.50"
"11/07/2025","Buy","NVDA","NVIDIA CORP","10","$186.04","","-$1860.40"
"11/07/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","10","$174.14","","-$1741.40"
"11/07/2025","Buy","UAL","UNITED AIRLINES HLDG","50","$95.78","","-$4789.00"
"11/07/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","10","$173.29","","-$1732.90"
"11/07/2025","Buy","NVDA","NVIDIA CORP","20","$182.63","","-$3652.60"
"11/07/2025","Buy","OSCR","OSCAR HEALTH INC CLASS CLASS A","100","$17.105","","-$1710.50"
"11/07/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","139","$69.8807","$0.02","$9713.40"
"11/07/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","100","$69.5726","$0.02","$6957.24"
"11/06/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","200","$73.9698","","-$14793.96"
"11/06/2025","Buy","NVDA","NVIDIA CORP","20","$188.84","","-$3776.80"
"11/06/2025","Sell","DDOG","DATADOG INC CLASS A","200","$191.00","$0.03","$38199.97"
"11/06/2025","Buy","DDOG","DATADOG INC CLASS A","200","$190.56","","-$38112.00"
"11/06/2025","Buy","NVDA","NVIDIA CORP","100","$197.6164","","-$19761.64"
"11/06/2025","Buy","OSCR","OSCAR HEALTH INC CLASS CLASS A","300","$18.01","","-$5403.00"
"11/05/2025","Buy","KVYO","KLAVIYO INC","200","$27.50","","-$5500.00"
"11/05/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","200","$71.1501","$0.03","$14229.99"
"11/05/2025","Buy","SNOW","SNOWFLAKE INC","60","$267.42","","-$16045.20"
"11/05/2025","Buy","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","100","$18.7976","","-$1879.76"
"11/05/2025","Buy","SOFI","SOFI TECHNOLOGIES INC","200","$28.6088","","-$5721.76"
"11/05/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","50","$301.32","$0.01","$15065.99"
"11/05/2025","Sell","SNOW","SNOWFLAKE INC","60","$260.94","$0.01","$15656.39"
"11/05/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","50","$304.6902","$0.01","$15234.50"
"11/04/2025","Buy","UAL","UNITED AIRLINES HLDG","50","$91.13","","-$4556.50"
"11/04/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","100","$315.00","","-$31500.00"
"11/04/2025","Sell","NVDA","NVIDIA CORP","50","$202.78","$0.01","$10138.99"
"11/04/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","25","$197.2072","","$4930.18"
"11/04/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","30","$198.81","","$5964.30"
"11/03/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","30","$208.00","","-$6240.00"
"11/03/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","50","$330.31","$0.01","$16515.49"
"11/03/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","50","$340.37","$0.01","$17018.49"
"10/31/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","200","$70.2369","","-$14047.38"
"10/30/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","100","$337.90","","-$33790.00"
"10/30/2025","Sell","NVDA","NVIDIA CORP","100","$202.84","$0.02","$20283.98"
"10/29/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","100","$74.02","$0.02","$7401.98"
"10/28/2025","Buy","NVDA","NVIDIA CORP","50","$202.0899","","-$10104.50"
"10/28/2025","Buy","SNOW","SNOWFLAKE INC","50","$268.73","","-$13436.50"
"10/28/2025","Buy","UAL","UNITED AIRLINES HLDG","50","$97.665","","-$4883.25"
"10/27/2025","MoneyLink Transfer","","Tfr BANK OF AMERICA, N, JIA NI","","","","-$20000.00"
"10/27/2025","Buy","NVDA","NVIDIA CORP","100","$189.59","","-$18959.00"
"10/24/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","100","$76.1706","$0.02","$7617.04"
"10/24/2025","Sell","TSLA","TESLA INC","1","$440.0251","","$440.03"
"10/24/2025","Buy","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","100","$19.0863","","-$1908.63"
"10/23/2025","Buy","KLAR","KLARNA GROUP PLC F","100","$37.1505","","-$3715.05"
"10/23/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","50","$323.3001","$0.01","$16165.00"
"10/23/2025","Buy","SNOW","SNOWFLAKE INC","20","$252.7812","","-$5055.62"
"10/22/2025","Sell","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","20","$288.6101","","$5772.20"
"10/22/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","50","$317.05","","-$15852.50"
"10/22/2025","Buy","SNOW","SNOWFLAKE INC","50","$241.36","","-$12068.00"
"10/22/2025","Buy","UAL","UNITED AIRLINES HLDG","50","$97.53","","-$4876.50"
"10/22/2025","Sell","NVDA","NVIDIA CORP","50","$177.14","$0.01","$8856.99"
"10/22/2025","Sell","SOFI","SOFI TECHNOLOGIES INC","200","$27.076","$0.03","$5415.17"
"10/22/2025","Sell","UAL","UNITED AIRLINES HLDG","50","$98.98","$0.01","$4948.99"
"10/22/2025","Sell","SNOW","SNOWFLAKE INC","50","$242.23","$0.01","$12111.49"
"10/21/2025","Sell","NFLX","NETFLIX INC","29","$1171.40","","$33970.60"
"10/21/2025","Buy","KVYO","KLAVIYO INC","200","$25.67","","-$5134.00"
"10/20/2025","Buy","BAND","BANDWIDTH INC CLASS A","200","$16.00","","-$3200.00"
"10/20/2025","Buy","KVYO","KLAVIYO INC","100","$24.20","","-$2420.00"
"10/20/2025","Buy","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","100","$18.54","","-$1854.00"
"10/17/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS A","50","$174.7696","$0.01","$8738.47"
"10/16/2025","Sell","QBTS","D-WAVE QUANTUM INC","1","$41.09","","$41.09"
"10/16/2025","Buy","UAL","UNITED AIRLINES HLDG","50","$97.41","","-$4870.50"
"10/16/2025","Buy","RGTI","RIGETTI COMPUTING INC","100","$48.50","","-$4850.00"
"10/16/2025","Buy","SNOW","SNOWFLAKE INC","30","$240.1506","","-$7204.52"
"10/16/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","150","$69.75","$0.02","$10462.48"
"10/16/2025","Sell Short","RGTI","RIGETTI COMPUTING INC","100","$48.58","$0.02","$4857.98"
"10/16/2025 as of 10/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$1.61"
"10/15/2025","Sell","NVDA","NVIDIA CORP","100","$178.154","$0.02","$17815.38"
"10/15/2025","Sell","QBTS","D-WAVE QUANTUM INC","24","$41.69","","$1000.56"
"10/15/2025","Buy","OKLO","OKLO INC CLASS A","25","$164.50","","-$4112.50"
"10/15/2025","Sell Short","OKLO","OKLO INC CLASS A","25","$164.78","","$4119.50"
"10/13/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","100","$73.2416","","-$7324.16"
"10/13/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS A","75","$179.59","","-$13469.25"
"10/10/2025","Buy","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","20","$280.49","","-$5609.80"
"10/10/2025","Buy","SOFI","SOFI TECHNOLOGIES INC","100","$27.025","","-$2702.50"
"10/10/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","40","$72.33","","-$2893.20"
"10/10/2025","Sell","QBTS","D-WAVE QUANTUM INC","100","$33.73","$0.02","$3372.98"
"10/10/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS A","25","$180.87","","$4521.75"
"10/10/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","10","$368.27","","$3682.70"
"10/10/2025","Sell","SNOW","SNOWFLAKE INC","20","$246.5381","","$4930.76"
"10/10/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS A","25","$182.06","","$4551.50"
"10/10/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","25","$369.96","","$9249.00"
"10/10/2025","Sell","ROKU","ROKU INC CLASS A","100","$94.5231","$0.02","$9452.29"
"10/10/2025","Sell","AVGO","BROADCOM INC","10","$340.94","","$3409.40"
"10/10/2025","Sell","TWLO","TWILIO INC CLASS A","105","$111.9551","$0.02","$11755.27"
"10/09/2025","Foreign Tax Paid","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","-$46.61"
"10/09/2025","Qualified Dividend","TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$221.93"
"10/09/2025","Buy","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","400","$21.00","","-$8400.00"
"10/08/2025","Sell","QBTS","D-WAVE QUANTUM INC","125","$33.63","$0.02","$4203.73"
"10/08/2025","Buy","KVYO","KLAVIYO INC","100","$26.2193","","-$2621.93"
"10/08/2025","Buy","SNOW","SNOWFLAKE INC","10","$245.17","","-$2451.70"
"10/07/2025","Buy","AVGO","BROADCOM INC","10","$331.00","","-$3310.00"
"10/07/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","35","$366.81","$0.01","$12838.34"
"10/07/2025","Sell","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","1","$173.05","","$173.05"
"10/07/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","1","$184.025","","$184.03"
"10/07/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","35","$375.50","$0.01","$13142.49"
"10/07/2025","Sell","AVGO","BROADCOM INC","14","$335.385","","$4695.39"
"10/07/2025","Buy","TWLO","TWILIO INC CLASS A","25","$110.0987","","-$2752.47"
"10/06/2025","Buy","SOFI","SOFI TECHNOLOGIES INC","100","$26.20","","-$2620.00"
"10/03/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS A","50","$180.58","","-$9029.00"
"10/03/2025","Buy","KVYO","KLAVIYO INC","200","$26.5573","","-$5311.46"
"10/02/2025","Buy","SNOW","SNOWFLAKE INC","30","$241.61","","-$7248.30"
"10/02/2025","Qualified Dividend","NVDA","NVIDIA CORP","","","","$1.70"
"10/01/2025","Buy","AVGO","BROADCOM INC","10","$332.2783","","-$3322.78"
"10/01/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","100","$74.30","","-$7430.00"
"09/30/2025","Qualified Dividend","AVGO","BROADCOM INC","","","","$2.95"
"09/25/2025","Sell","ROKU","ROKU INC CLASS A","100","$96.40","$0.02","$9639.98"
"09/25/2025","Sell","QBTS","D-WAVE QUANTUM INC","250","$26.03","$0.04","$6507.46"
"09/24/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","10","$323.81","","-$3238.10"
"09/24/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","100","$83.96","","-$8396.00"
"09/23/2025","Sell","SNOW","SNOWFLAKE INC","80","$224.325","$0.01","$17945.99"
"09/22/2025","Sell","DDOG","DATADOG INC CLASS A","104","$138.905","$0.02","$14446.10"
"09/22/2025","Sell","QBTS","D-WAVE QUANTUM INC","500","$24.5186","$0.08","$12259.22"
"09/19/2025","Sell","QBTS","D-WAVE QUANTUM INC","300","$23.1427","$0.05","$6942.76"
"09/18/2025","Sell","KKR","KKR & CO INC","1","$149.20","","$149.20"
"09/18/2025","MoneyLink Transfer","","Tfr Bank of America, N, JIA NI","","","","-$30000.00"
"09/18/2025","Buy","SNOW","SNOWFLAKE INC","80","$221.09","","-$17687.20"
"09/18/2025","Buy","TWLO","TWILIO INC CLASS A","30","$105.28","","-$3158.40"
"09/17/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","100","$89.565","$0.02","$8956.48"
"09/17/2025","Buy","KVYO","KLAVIYO INC","200","$34.40","","-$6880.00"
"09/17/2025","Sell","PLTR","PALANTIR TECHNOLOGIES INCLASS A","130","$162.0715","$0.02","$21069.28"
"09/16/2025 as of 09/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$1.83"
"09/15/2025","Qualified Dividend","GOOG","ALPHABET INC CLASS C","","","","$44.10"
"09/11/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","200","$82.495","$0.03","$16498.97"
"09/10/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","30","$319.7999","","-$9594.00"
"09/09/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","100","$88.7285","","-$8872.85"
"09/09/2025","Buy","COIN","COINBASE GLOBAL INC CLASS A","30","$311.6059","","-$9348.18"
"09/09/2025","MoneyLink Transfer","","Tfr BANK OF AMERICA, N, JIA NI","","","","-$30000.00"
"09/05/2025","Buy","AMD","ADVANCED MICRO DEVIC","50","$151.08","","-$7554.00"
"09/05/2025","Sell Short","AMD","ADVANCED MICRO DEVIC","50","$150.70","$0.01","$7534.99"
"09/05/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","100","$88.5588","$0.02","$8855.86"
"09/05/2025","Sell","AVGO","BROADCOM INC","30","$335.55","","$10066.50"
"09/05/2025","Sell","NVDA","NVIDIA CORP","200","$167.165","$0.03","$33432.97"
"09/05/2025","Buy","QBTS","D-WAVE QUANTUM INC","300","$15.3799","","-$4613.97"
"09/05/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","200","$91.1999","","-$18239.98"
"09/05/2025","Buy","AVGO","BROADCOM INC","35","$324.65","","-$11362.75"
"09/04/2025","Buy","AMD","ADVANCED MICRO DEVIC","100","$161.76","","-$16176.00"
"09/04/2025","Sell Short","AMD","ADVANCED MICRO DEVIC","100","$161.48","$0.02","$16147.98"
"09/04/2025","Sell","SNOW","SNOWFLAKE INC","25","$217.00","","$5425.00"
"09/03/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","120","$82.6743","","-$9920.92"
"09/02/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","30","$85.4363","","$2563.09"
"09/02/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","200","$135.0301","$0.03","$27005.99"
"09/02/2025","Sell","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","100","$18.8901","$0.02","$1888.99"
"08/29/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS A","30","$156.7197","","-$4701.59"
"08/29/2025","Sell","ROKU","ROKU INC CLASS A","100","$96.08","$0.02","$9607.98"
"08/29/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","50","$88.0352","$0.01","$4401.75"
"08/29/2025","Sell","SNOW","SNOWFLAKE INC","25","$235.14","","$5878.50"
"08/29/2025","Buy","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","100","$119.65","","-$11965.00"
"08/28/2025","Sell","EDU","NEW ORIENTAL ED & TECH FSPONSORED ADR 1 ADR REPS 10 ORD SHS","131","$47.2897","$0.02","$6194.93"
"08/28/2025","Sell","SNOW","SNOWFLAKE INC","50","$235.6546","$0.01","$11782.72"
"08/27/2025","Buy","NVDA","NVIDIA CORP","100","$176.7599","","-$17675.99"
"08/27/2025","Buy","NVDA","NVIDIA CORP","100","$176.74","","-$17674.00"
"08/27/2025","Sell","BABA","ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS","100","$121.53","$0.02","$12152.98"
"08/26/2025","Qualified Dividend","KKR","KKR & CO INC","","","","$0.19"
"08/22/2025","Buy","NVDA","NVIDIA CORP","100","$176.61","","-$17661.00"
"08/22/2025","Buy","NFLX","NETFLIX INC","10","$1210.52","","-$12105.20"
"08/22/2025","Buy","PLTR","PALANTIR TECHNOLOGIES INCLASS A","100","$158.145","","-$15814.50"
"08/21/2025","Buy","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","100","$18.1951","","-$1819.51"
"08/21/2025","Sell","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","100","$176.5025","$0.02","$17650.23"
"08/20/2025","Buy","AFRM","AFFIRM HLDGS INC CLASS A","100","$73.2836","","-$7328.36"
"08/20/2025","Buy","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","100","$174.0999","","-$17409.99"
"08/19/2025","Buy","ZETA","ZETA GLOBAL HLDGS CORP CLASS A","1","$18.979","","-$18.98"
"08/19/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","110","$75.095","$0.02","$8260.43"
"08/19/2025","Sell","ROKU","ROKU INC CLASS A","100","$90.1566","$0.02","$9015.64"
"08/18/2025 as of 08/15/2025","Bank Interest","","BANK INT ...525 TD BANK USA NA","","","","$1.71"
"08/15/2025","Buy","TWLO","TWILIO INC CLASS A","50","$106.955","","-$5347.75"
"08/12/2025","Buy","DDOG","DATADOG INC CLASS A","50","$129.67","","-$6483.50"
"08/12/2025","Buy","FUTU","FUTU HLDGS LTD FUNSPONSORED ADR 1 ADR REPS 8 ORD SHS","1","$167.14","","-$167.14"
"08/12/2025","Sell","KVYO","KLAVIYO INC","299","$30.255","$0.05","$9046.20"
"08/11/2025","Buy","SNOW","SNOWFLAKE INC","100","$196.02","","-$19602.00"
"08/08/2025","Buy","NFLX","NETFLIX INC","10","$1212.9999","","-$12130.00"
"08/08/2025","Sell","KVYO","KLAVIYO INC","500","$33.543","$0.08","$16771.42"
"08/08/2025","Sell","AFRM","AFFIRM HLDGS INC CLASS A","200","$75.9001","$0.03","$15179.99"
"08/07/2025","Sell","KVYO","KLAVIYO INC","500","$35.09","$0.08","$17544.92"
"08/07/2025","Buy","NVDA","NVIDIA CORP","30","$181.50","","-$5445.00"
