"Positions for CUSTACCS as of 02:06 PM ET, 01/19/2026"

Monica ...819
"Symbol","Description","Qty (Quantity)","Price","Cost/Share","Price Chng % (Price Change %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Day Chng % (Day Change %)","Day Chng $ (Day Change $)","Cost Basis","Gain % (Gain/Loss %)","Gain $ (Gain/Loss $)","Ratings","Reinvest?","Reinvest Capital Gains?","% of Acct (% of Account)","Security Type",
"ORCL","ORACLE CORP","31","=""$191.09""","$207.96","0.65%","=""$1.24""","$5,923.79","0.65%","$38.44","$6,446.73","-8.11%","-$522.94","C","No","N/A","2.03%","Equity",
"QBTS","D-WAVE QUANTUM INC","100","=""$28.83""","$28.30","0.38%","=""$0.11""","$2,883.00","0.38%","$11.00","$2,830.00","1.87%","$53.00","F","No","N/A","0.99%","Equity",
"SHOP","SHOPIFY INC FCLASS CLASS A","51","=""$155.81""","$160.14","-1.38%","=""-$2.18""","$7,946.31","-1.38%","-$111.18","$8,167.11","-2.7%","-$220.80","-","No","N/A","2.72%","Equity",
"TTD","THE TRADE DESK INC CLASS CLASS A","350","=""$35.48""","$50.56","-2.07%","=""-$0.75""","$12,418.00","-2.07%","-$262.50","$17,696.71","-29.83%","-$5,278.71","F","No","N/A","4.25%","Equity",
"IWM","ISHARES RUSSELL 2000 ETF","70","=""$265.76""","$264.05","0.09%","=""$0.25""","$18,603.20","0.09%","$17.50","$18,483.53","0.65%","$119.67","--","No","N/A","6.37%","ETFs & Closed End Funds",
"SGOV","ISHARES 0-3 MONTH TREASURY BOND ETF","300","=""$100.56""","$100.44","0.04%","=""$0.04""","$30,168.00","0.04%","$12.00","$30,132.00","0.12%","$36.00","--","No","N/A","10.33%","ETFs & Closed End Funds",
"Cash & Cash Investments","--","--","--","--","--","--","$84,717.97","0%","$0.00","--","--","--","--","--","--","29.02%","Cash and Money Market",
"Account Total","","--","--","--","--","--","$291,913.82","0.01%","$22.80","$207,115.62","0.04%","$80.23","--","--","--","--","--",


Jia ...196
"Symbol","Description","Qty (Quantity)","Price","Cost/Share","Price Chng % (Price Change %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Day Chng % (Day Change %)","Day Chng $ (Day Change $)","Cost Basis","Gain % (Gain/Loss %)","Gain $ (Gain/Loss $)","Ratings","Reinvest?","Reinvest Capital Gains?","% of Acct (% of Account)","Security Type",
"AFRM","AFFIRM HLDGS INC CLASS A","151","=""$74.76""","$78.78","4.11%","=""$2.95""","$11,288.76","4.11%","$445.45","$11,895.67","-5.1%","-$606.91","F","No","N/A","2.27%","Equity",
"AMZN","AMAZON.COM INC","270","=""$239.12""","$160.55","0.39%","=""$0.94""","$64,562.40","0.39%","$253.80","$43,347.72","48.94%","$21,214.68","C","No","N/A","12.97%","Equity",
"AVGO","BROADCOM INC","1","=""$351.71""","$324.65","2.53%","=""$8.69""","$351.71","2.53%","$8.69","$324.65","8.34%","$27.06","D","No","N/A","0.07%","Equity",
"BAND","BANDWIDTH INC CLASS CLASS A","301","=""$13.41""","$15.64","-0.89%","=""-$0.12""","$4,036.41","-0.89%","-$36.12","$4,708.77","-14.28%","-$672.36","B","No","N/A","0.81%","Equity",
"CHYM","CHIME FINL INC CLASS A","200","=""$26.07""","$26.99","0.89%","=""$0.23""","$5,214.00","0.89%","$46.00","$5,398.00","-3.41%","-$184.00","-","No","N/A","1.05%","Equity",
"COIN","COINBASE GLOBAL INC CLASS CLASS A","1","=""$241.15""","$180.00","0.78%","=""$1.87""","$241.15","0.78%","$1.87","$180.00","33.97%","$61.15","-","No","N/A","0.05%","Equity",
"DDOG","DATADOG INC CLASS A","51","=""$119.02""","$124.85","-1.52%","=""-$1.84""","$6,070.02","-1.52%","-$93.84","$6,367.17","-4.67%","-$297.15","C","No","N/A","1.22%","Equity",
"GOOG","ALPHABET INC CLASS CLASS C","210","=""$330.34""","$157.11","-0.85%","=""-$2.82""","$69,371.40","-0.85%","-$592.20","$32,992.87","110.26%","$36,378.53","-","No","N/A","13.94%","Equity",
"JMIA","JUMIA TECHNOLOGIES AG FUNSPONSORED ADR 1 ADR REPS 2 ORD SHS","1","=""$12.45""","$12.60","-2.58%","=""-$0.33""","$12.45","-2.58%","-$0.33","$12.60","-1.19%","-$0.15","-","No","N/A","0%","Equity",
"KVYO","KLAVIYO INC","601","=""$23.82""","$30.62","-6.95%","=""-$1.78""","$14,315.82","-6.95%","-$1,069.78","$18,400.23","-22.2%","-$4,084.41","-","No","N/A","2.88%","Equity",
"NFLX","NETFLIX INC","160","=""$88.00""","$95.79","-0.06%","=""-$0.05""","$14,080.00","-0.06%","-$8.00","$15,327.09","-8.14%","-$1,247.09","B","No","N/A","2.83%","Equity",
"PLTR","PALANTIR TECHNOLOGIES INCLASS CLASS A","1","=""$170.96""","$111.24","-3.45%","=""-$6.11""","$170.96","-3.45%","-$6.11","$111.24","53.69%","$59.72","-","No","N/A","0.03%","Equity",
"ROKU","ROKU INC CLASS A","400","=""$103.66""","$61.77","-1.25%","=""-$1.31""","$41,464.00","-1.25%","-$524.00","$24,709.25","67.81%","$16,754.75","C","No","N/A","8.33%","Equity",
"SNDK","SANDISK CORP","10","=""$413.62""","$339.08","1.07%","=""$4.38""","$4,136.20","1.07%","$43.80","$3,390.82","21.98%","$745.38","F","No","N/A","0.83%","Equity",
"SNOW","SNOWFLAKE INC CLASS CLASS A","201","=""$210.38""","$246.80","1.27%","=""$2.64""","$42,286.38","1.27%","$530.64","$49,606.73","-14.76%","-$7,320.35","D","No","N/A","8.5%","Equity",
"SOFI","SOFI TECHNOLOGIES INC","1,410","=""$26.13""","$13.55","-1.17%","=""-$0.31""","$36,843.30","-1.17%","-$437.10","$19,098.95","92.91%","$17,744.35","D","No","N/A","7.4%","Equity",
"TSLA","TESLA INC","1","=""$437.50""","$361.49","-0.24%","=""-$1.07""","$437.50","-0.24%","-$1.07","$361.49","21.03%","$76.01","-","No","N/A","0.09%","Equity",
"TSM","TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS","270","=""$342.40""","$126.00","0.22%","=""$0.76""","$92,448.00","0.22%","$205.20","$34,020.86","171.74%","$58,427.14","-","No","N/A","18.57%","Equity",
"U","UNITY SOFTWARE INC","1","=""$40.95""","$37.74","-6.89%","=""-$3.03""","$40.95","-6.89%","-$3.03","$37.74","8.51%","$3.21","D","No","N/A","0.01%","Equity",
"UAL","UNITED AIRLINES HLDG","251","=""$113.49""","$94.25","-2.18%","=""-$2.53""","$28,485.99","-2.18%","-$635.03","$23,657.35","20.41%","$4,828.64","C","No","N/A","5.72%","Equity",
"ZETA","ZETA GLOBAL HLDGS CORP CLASS CLASS A","201","=""$20.26""","$17.74","-6.12%","=""-$1.32""","$4,072.26","-6.12%","-$265.32","$3,565.81","14.2%","$506.45","D","No","N/A","0.82%","Equity",
"FCNTX","FIDELITY CONTRAFUND","0.975","=""$24.55""","$13.84","-0.08%","=""-$0.02""","$23.94","-0.08%","-$0.02","$13.49","77.46%","$10.45","4","Yes","Yes","0%","Mutual Fund",
"Cash & Cash Investments","--","--","--","--","--","--","$57,780.25","0%","$0.00","--","--","--","--","--","--","11.61%","Cash and Money Market",
"Account Total","","--","--","--","--","--","$497,733.85","-0.43%","-$2,136.50","$297,528.50","47.87%","$142,425.10","--","--","--","--","--",
