"Realized Gain/Loss - Lot Details for All_Accounts as of Sat Mar 14  23:31:15 EDT 2026 from 01/01/2024 to 03/14/2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Trading Book ...005","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"INTU","INTUIT","03/02/2026","02/22/2026","10","$402.00","$402.81","$4,020.02","$4,028.12","-$8.10","-0.201086362869%","","-$8.10","Short Term","$4,028.12","No","","03/02/2026","$18,809.25","$1,290.87","6.862953068304%","","","$1,290.87","6.862953068304164%"
"INTU","INTUIT","03/02/2026","02/20/2026","40","$402.00","$409.30","$16,080.10","$16,371.99","-$72.97","-0.445700247801%","","-$72.97","Short Term","$16,371.99","Yes","$218.92","03/02/2026","$18,809.25","$1,290.87","6.862953068304%","","","$1,290.87","6.862953068304164%"
"KKR","KKR & CO INC","02/27/2026","11/07/2025","20","$87.58","$118.39","$1,751.59","$2,367.80","-$616.21","-26.024579778698%","","-$616.21","Short Term","$2,367.80","No","","02/27/2026","$12,007.28","-$3,249.30","-27.061082943015%","","","-$3,249.30","-27.061082943014576%"
"KKR","KKR & CO INC","02/27/2026","10/20/2025","50","$87.58","$119.54","$4,378.99","$5,977.00","-$958.81","-16.041659695499%","","-$958.81","Short Term","$5,977.00","Yes","$639.20","02/27/2026","$12,007.28","-$3,249.30","-27.061082943015%","","","-$3,249.30","-27.061082943014576%"
"KKR","KKR & CO INC","02/27/2026","10/13/2025","20","$87.58","$120.25","$1,751.60","$2,405.00","$0.00","0%","","$0.00","Short Term","$2,405.00","Yes","$653.40","02/27/2026","$12,007.28","-$3,249.30","-27.061082943015%","","","-$3,249.30","-27.061082943014576%"
"KKR","KKR & CO INC","02/27/2026","09/03/2025","10","$87.58","$140.11","$875.80","$1,401.08","$0.00","0%","","$0.00","Short Term","$1,401.08","Yes","$525.28","02/27/2026","$12,007.28","-$3,249.30","-27.061082943015%","","","-$3,249.30","-27.061082943014576%"
"SHOP","SHOPIFY INC CLASS A","02/27/2026","01/24/2026","48","$121.40","$134.56","$5,827.18","$6,458.77","$0.00","0%","","$0.00","Short Term","$6,458.77","Yes","$631.59","02/27/2026","$11,818.36","$321.62","2.72135897028%","","","$321.62","2.72135897028014%"
"SHOP","SHOPIFY INC CLASS A","02/27/2026","01/22/2026","1","$121.40","$133.12","$121.40","$133.12","$0.00","0%","","$0.00","Short Term","$133.12","Yes","$11.72","02/27/2026","$11,818.36","$321.62","2.72135897028%","","","$321.62","2.72135897028014%"
"SHOP","SHOPIFY INC CLASS A","02/27/2026","01/18/2026","25","$121.40","$136.98","$3,035.00","$3,424.39","$0.00","0%","","$0.00","Short Term","$3,424.39","Yes","$389.39","02/27/2026","$11,818.36","$321.62","2.72135897028%","","","$321.62","2.72135897028014%"
"SHOP","SHOPIFY INC CLASS A","02/27/2026","01/17/2026","25","$121.40","$144.89","$3,035.00","$3,622.31","$0.00","0%","","$0.00","Short Term","$3,622.31","Yes","$587.31","02/27/2026","$11,818.36","$321.62","2.72135897028%","","","$321.62","2.72135897028014%"
"SHOP","SHOPIFY INC CLASS A","02/27/2026","09/27/2025","1","$121.40","$130.51","$121.40","$130.51","$0.00","0%","","$0.00","Short Term","$130.51","Yes","$9.11","02/27/2026","$11,818.36","$321.62","2.72135897028%","","","$321.62","2.72135897028014%"
"ZETA","ZETA GLOBAL HLDGS CO CLASS A","02/27/2026","02/18/2026","250","$17.62","$15.95","$4,405.93","$3,987.45","$418.48","10.494927836086%","","$418.48","Short Term","$3,987.45","No","","02/27/2026","","","","","","",""
"ZETA","ZETA GLOBAL HLDGS CO CLASS A","02/27/2026","02/18/2026","250","$17.39","$15.95","$4,348.30","$3,987.45","$360.85","9.049643255715%","","$360.85","Short Term","$3,987.45","No","","02/27/2026","","","","","","",""
"TTD","THE TRADE DESK INC CLASS A","02/25/2026","11/10/2025","100","$21.70","$44.21","$2,169.98","$4,420.71","-$2,250.73","-50.913314829518%","","-$2,250.73","Short Term","$4,420.71","No","","02/25/2026","$15,153.46","-$7,558.53","-49.879895416624%","","","-$7,558.53","-49.879895416624315%"
"TTD","THE TRADE DESK INC CLASS A","02/25/2026","11/07/2025","50","$21.70","$42.71","$1,084.99","$2,135.30","-$1,050.31","-49.187936121388%","","-$1,050.31","Short Term","$2,135.30","No","","02/25/2026","$15,153.46","-$7,558.53","-49.879895416624%","","","-$7,558.53","-49.879895416624315%"
"TTD","THE TRADE DESK INC CLASS A","02/25/2026","10/13/2025","100","$21.70","$55.01","$2,169.98","$5,500.93","-$3,330.95","-60.552488397416%","","-$3,330.95","Short Term","$5,500.93","No","","02/25/2026","$15,153.46","-$7,558.53","-49.879895416624%","","","-$7,558.53","-49.879895416624315%"
"TTD","THE TRADE DESK INC CLASS A","02/25/2026","09/01/2025","50","$21.70","$52.08","$1,084.99","$2,603.79","-$1,518.80","-58.330356902822%","","-$1,518.80","Short Term","$2,603.79","No","","02/25/2026","$15,153.46","-$7,558.53","-49.879895416624%","","","-$7,558.53","-49.879895416624315%"
"TTD","THE TRADE DESK INC CLASS A","02/25/2026","04/09/2025","50","$21.70","$60.72","$1,084.99","$3,035.98","-$1,950.99","-64.262281042695%","","-$1,950.99","Short Term","$3,035.98","No","","02/25/2026","$15,153.46","-$7,558.53","-49.879895416624%","","","-$7,558.53","-49.879895416624315%"
"INTU","INTUIT","02/23/2026","02/20/2026","10","$357.45","$384.08","$3,574.53","$3,840.80","$0.00","0%","","$0.00","Short Term","$3,840.80","Yes","$266.27","02/23/2026","","","","","","",""
"INTU","INTUIT","02/23/2026","02/18/2026","40","$357.45","$390.57","$14,298.14","$15,622.73","$0.00","0%","","$0.00","Short Term","$15,622.73","Yes","$1,324.59","02/23/2026","","","","","","",""
"SHOP","SHOPIFY INC CLASS A","02/23/2026","01/22/2026","49","$123.84","$140.40","$6,067.99","$6,879.60","$0.00","0%","","$0.00","Short Term","$6,879.60","Yes","$811.61","02/23/2026","$14,042.85","-$1,659.18","-11.815122998537%","","","-$1,659.18","-11.815122998536628%"
"SHOP","SHOPIFY INC CLASS A","02/23/2026","01/16/2026","25","$123.84","$149.71","$3,095.92","$3,742.76","$0.00","0%","","$0.00","Short Term","$3,742.76","Yes","$646.84","02/23/2026","$14,042.85","-$1,659.18","-11.815122998537%","","","-$1,659.18","-11.815122998536628%"
"SHOP","SHOPIFY INC CLASS A","02/23/2026","01/15/2026","25","$123.84","$162.18","$3,095.92","$4,054.43","$0.00","0%","","$0.00","Short Term","$4,054.43","Yes","$958.51","02/23/2026","$14,042.85","-$1,659.18","-11.815122998537%","","","-$1,659.18","-11.815122998536628%"
"SHOP","SHOPIFY INC CLASS A","02/23/2026","09/25/2025","1","$123.84","$143.25","$123.84","$143.25","$0.00","0%","","$0.00","Short Term","$143.25","Yes","$19.41","02/23/2026","$14,042.85","-$1,659.18","-11.815122998537%","","","-$1,659.18","-11.815122998536628%"
"SHOP","SHOPIFY INC CLASS A","02/23/2026","01/22/2026","25","$123.66","$146.06","$3,091.45","$3,651.62","$0.00","0%","","$0.00","Short Term","$3,651.62","Yes","$560.17","02/23/2026","$11,889.62","$476.16","4.004837833337%","","","$476.16","4.004837833336978%"
"SHOP","SHOPIFY INC CLASS A","02/23/2026","01/22/2026","23","$123.66","$133.12","$2,844.11","$3,061.84","$0.00","0%","","$0.00","Short Term","$3,061.84","Yes","$217.73","02/23/2026","$11,889.62","$476.16","4.004837833337%","","","$476.16","4.004837833336978%"
"SHOP","SHOPIFY INC CLASS A","02/23/2026","01/22/2026","1","$123.66","$140.40","$123.66","$140.40","$0.00","0%","","$0.00","Short Term","$140.40","Yes","$16.74","02/23/2026","$11,889.62","$476.16","4.004837833337%","","","$476.16","4.004837833336978%"
"SHOP","SHOPIFY INC CLASS A","02/23/2026","01/16/2026","25","$123.66","$142.43","$3,091.45","$3,560.84","$0.00","0%","","$0.00","Short Term","$3,560.84","Yes","$469.39","02/23/2026","$11,889.62","$476.16","4.004837833337%","","","$476.16","4.004837833336978%"
"SHOP","SHOPIFY INC CLASS A","02/23/2026","01/15/2026","25","$123.66","$150.35","$3,091.45","$3,758.76","$0.00","0%","","$0.00","Short Term","$3,758.76","Yes","$667.31","02/23/2026","$11,889.62","$476.16","4.004837833337%","","","$476.16","4.004837833336978%"
"SHOP","SHOPIFY INC CLASS A","02/23/2026","09/25/2025","1","$123.66","$135.97","$123.66","$135.97","$0.00","0%","","$0.00","Short Term","$135.97","Yes","$12.31","02/23/2026","$11,889.62","$476.16","4.004837833337%","","","$476.16","4.004837833336978%"
"DASH","DOORDASH INC A","02/19/2026","02/06/2026","14","$190.10","$185.99","$2,661.45","$2,603.86","$57.59","2.211716451729%","","$57.59","Short Term","$2,603.86","No","","02/19/2026","$20,488.87","-$1,478.58","-7.216503399163%","","","-$1,478.58","-7.216503399162569%"
"DASH","DOORDASH INC A","02/19/2026","02/03/2026","10","$190.10","$200.72","$1,901.03","$2,007.15","-$106.12","-5.287098622425%","","-$106.12","Short Term","$2,007.15","No","","02/19/2026","$20,488.87","-$1,478.58","-7.216503399163%","","","-$1,478.58","-7.216503399162569%"
"DASH","DOORDASH INC A","02/19/2026","01/29/2026","25","$190.10","$207.57","$4,752.57","$5,189.25","-$436.68","-8.415088885677%","","-$436.68","Short Term","$5,189.25","No","","02/19/2026","$20,488.87","-$1,478.58","-7.216503399163%","","","-$1,478.58","-7.216503399162569%"
"DASH","DOORDASH INC A","02/19/2026","01/16/2026","25","$190.10","$218.38","$4,752.57","$5,459.38","-$678.54","-12.428883865933%","","-$678.54","Short Term","$5,459.38","Yes","$28.27","02/19/2026","$20,488.87","-$1,478.58","-7.216503399163%","","","-$1,478.58","-7.216503399162569%"
"DASH","DOORDASH INC A","02/19/2026","01/14/2026","25","$190.10","$217.66","$4,752.57","$5,441.50","-$688.93","-12.660663420013%","","-$688.93","Short Term","$5,441.50","No","","02/19/2026","$20,488.87","-$1,478.58","-7.216503399163%","","","-$1,478.58","-7.216503399162569%"
"DASH","DOORDASH INC A","02/19/2026","11/10/2025","1","$190.10","$206.86","$190.10","$206.86","-$16.76","-8.10209803732%","","-$16.76","Short Term","$206.86","No","","02/19/2026","$20,488.87","-$1,478.58","-7.216503399163%","","","-$1,478.58","-7.216503399162569%"
"EWZ","ISHARES MSCI BRAZIL ETF","02/18/2026","02/09/2026","100","$38.11","$38.20","$3,811.23","$3,819.50","-$8.27","-0.216520486975%","","-$8.27","Short Term","$3,819.50","No","","02/18/2026","","","","","","",""
"EWZ","ISHARES MSCI BRAZIL ETF","02/18/2026","02/03/2026","100","$38.11","$37.80","$3,811.23","$3,780.00","$31.23","0.82619047619%","","$31.23","Short Term","$3,780.00","No","","02/18/2026","","","","","","",""
"EWZ","ISHARES MSCI BRAZIL ETF","02/18/2026","02/02/2026","1","$38.11","$37.34","$38.11","$37.34","$0.77","2.062131762185%","","$0.77","Short Term","$37.34","No","","02/18/2026","","","","","","",""
"QQQ","INVESCO QQQ TR","02/09/2026","02/06/2026","100","$611.33","$608.20","$61,132.92","$60,819.92","$313.00","0.514634021222%","","$313.00","Short Term","$60,819.92","No","","02/09/2026","","","","","","",""
"INTC","INTEL CORP","02/06/2026","10/01/2025","1","$51.27","$35.21","$51.27","$35.21","$16.06","45.612042033513%","","$16.06","Short Term","$35.21","No","","02/06/2026","","","","","","",""
"MSFT","MICROSOFT CORP","02/06/2026","09/05/2025","1","$399.61","$517.00","$399.61","$517.00","-$117.39","-22.705996131528%","","-$117.39","Short Term","$517.00","No","","02/06/2026","$414.00","-$14.39","-3.475845410628%","","","-$14.39","-3.475845410628019%"
"MU","MICRON TECHNOLOGY IN","02/06/2026","10/02/2025","1","$391.59","$183.91","$391.59","$183.91","$207.68","112.924800173998%","","$207.68","Short Term","$183.91","No","","02/06/2026","","","","","","",""
"GLD","SPDR GOLD SHARES ETF","02/05/2026","02/03/2026","10","$447.11","$455.04","$4,471.10","$4,550.35","-$79.25","-1.74162427066%","","-$79.25","Short Term","$4,550.35","No","","02/05/2026","","","","","","",""
"GOOG","ALPHABET INC CLASS C","02/05/2026","02/04/2026","20","$319.64","$332.00","$6,392.81","$6,640.00","-$247.19","-3.722740963855%","","-$247.19","Short Term","$6,640.00","No","","02/05/2026","","","","","","",""
"MSFT","MICROSOFT CORP","02/05/2026","02/04/2026","49","$393.89","$414.00","$19,300.60","$20,286.00","-$985.40","-4.857537217786%","","-$985.40","Short Term","$20,286.00","No","","02/05/2026","","","","","","",""
"MSFT","MICROSOFT CORP","02/05/2026","02/04/2026","5","$393.89","$414.38","$1,969.45","$2,071.88","-$102.43","-4.943819140105%","","-$102.43","Short Term","$2,071.88","No","","02/05/2026","","","","","","",""
"MSFT","MICROSOFT CORP","02/05/2026","01/28/2026","5","$393.89","$483.43","$1,969.45","$2,417.17","-$447.72","-18.52248704063%","","-$447.72","Short Term","$2,417.17","No","","02/05/2026","","","","","","",""
"MSFT","MICROSOFT CORP","02/05/2026","09/05/2025","1","$393.89","$496.89","$393.89","$496.89","$0.00","0%","","$0.00","Short Term","$496.89","Yes","$103.00","02/05/2026","","","","","","",""
"MU","MICRON TECHNOLOGY IN","02/05/2026","02/04/2026","20","$382.50","$392.00","$7,650.01","$7,840.00","$0.00","0%","","$0.00","Short Term","$7,840.00","Yes","$189.99","02/05/2026","","","","","","",""
"MU","MICRON TECHNOLOGY IN","02/05/2026","02/05/2026","20","$380.66","$382.79","$7,613.19","$7,655.76","-$42.57","-0.556051913853%","","-$42.57","Short Term","$7,655.76","No","","02/05/2026","$19,103.75","-$70.76","-0.370398481973%","","","-$70.76","-0.3703984819734345%"
"MU","MICRON TECHNOLOGY IN","02/05/2026","02/04/2026","30","$380.66","$395.38","$11,419.80","$11,861.51","-$441.71","-3.723893500912%","","-$441.71","Short Term","$11,861.51","No","","02/05/2026","$19,103.75","-$70.76","-0.370398481973%","","","-$70.76","-0.3703984819734345%"
"MU","MICRON TECHNOLOGY IN","02/05/2026","02/05/2026","25","$378.99","$382.08","$9,474.75","$9,551.88","-$77.13","-0.807485018656%","","-$77.13","Short Term","$9,551.88","No","","02/05/2026","","","","","","",""
"MU","MICRON TECHNOLOGY IN","02/05/2026","02/05/2026","25","$373.34","$382.07","$9,333.50","$9,551.87","-$218.37","-2.286149204292%","","-$218.37","Short Term","$9,551.87","No","","02/05/2026","","","","","","",""
"MU","MICRON TECHNOLOGY IN","02/04/2026","02/03/2026","10","$401.46","$419.54","$4,014.65","$4,195.40","$0.00","0%","","$0.00","Short Term","$4,195.40","Yes","$180.75","02/04/2026","","","","","","",""
"MU","MICRON TECHNOLOGY IN","02/04/2026","01/15/2026","20","$401.46","$344.68","$8,029.30","$6,893.60","$1,135.70","16.474701172102%","","$1,135.70","Short Term","$6,893.60","No","","02/04/2026","","","","","","",""
"MU","MICRON TECHNOLOGY IN","02/04/2026","11/24/2025","5","$401.46","$223.36","$2,007.32","$1,116.80","$890.52","79.738538681948%","","$890.52","Short Term","$1,116.80","No","","02/04/2026","","","","","","",""
"MU","MICRON TECHNOLOGY IN","02/04/2026","11/24/2025","10","$393.47","$223.36","$3,934.70","$2,233.60","$1,701.10","76.159563037249%","","$1,701.10","Short Term","$2,233.60","No","","02/04/2026","","","","","","",""
"MU","MICRON TECHNOLOGY IN","02/04/2026","02/04/2026","5","$389.15","$392.00","$1,945.74","$1,960.00","$0.00","0%","","$0.00","Short Term","$1,960.00","Yes","$14.26","02/04/2026","$5,880.00","-$42.78","-0.727551020408%","","","-$42.78","-0.7275510204081632%"
"MU","MICRON TECHNOLOGY IN","02/04/2026","02/03/2026","10","$389.15","$410.07","$3,891.48","$4,100.75","$0.00","0%","","$0.00","Short Term","$4,100.75","Yes","$209.27","02/04/2026","$5,880.00","-$42.78","-0.727551020408%","","","-$42.78","-0.7275510204081632%"
"MU","MICRON TECHNOLOGY IN","02/02/2026","01/20/2026","15","$404.30","$362.00","$6,064.50","$5,430.00","$634.50","11.685082872928%","","$634.50","Short Term","$5,430.00","No","","02/02/2026","","","","","","",""
"NVDA","NVIDIA CORP","02/02/2026","11/19/2025","30","$187.16","$194.13","$5,614.79","$5,823.89","-$209.10","-3.590383746946%","","-$209.10","Short Term","$5,823.89","No","","02/02/2026","","","","","","",""
"NVDA","NVIDIA CORP","02/02/2026","12/18/2025","30","$184.47","$173.66","$5,534.14","$5,209.92","$324.22","6.223128186229%","","$324.22","Short Term","$5,209.92","No","","02/02/2026","","","","","","",""
"NVDA","NVIDIA CORP","02/02/2026","11/19/2025","20","$184.47","$194.13","$3,689.42","$3,882.60","-$193.18","-4.975531860094%","","-$193.18","Short Term","$3,882.60","No","","02/02/2026","","","","","","",""
"MU","MICRON TECHNOLOGY IN","01/29/2026","01/20/2026","25","$424.00","$362.00","$10,600.11","$9,050.00","$1,550.11","17.128287292818%","","$1,550.11","Short Term","$9,050.00","No","","01/29/2026","","","","","","",""
"AMD","ADVANCED MICRO DEVIC","01/27/2026","08/21/2025","1","$253.57","$166.58","$253.57","$166.58","$86.99","52.2211550006%","","$86.99","Short Term","$166.58","No","","01/27/2026","$162.29","$91.28","56.2449935301%","","","$91.28","56.24499353010044%"
"BILI","BILIBILI INC ADR","01/27/2026","01/12/2026","1","$34.86","$32.94","$34.86","$32.94","$1.92","5.828779599271%","","$1.92","Short Term","$32.94","No","","01/27/2026","$31.85","$3.01","9.450549450549%","","","$3.01","9.450549450549449%"
"DASH","DOORDASH INC A","01/27/2026","01/14/2026","25","$206.86","$217.66","$5,171.38","$5,441.51","$0.00","0%","","$0.00","Short Term","$5,441.51","Yes","$270.13","01/27/2026","$5,292.50","-$121.12","-2.288521492678%","","","-$121.12","-2.2885214926783184%"
"FUTU","FUTU HLDGS LTD ADR","01/27/2026","11/21/2025","40","$164.07","$162.83","$6,562.81","$6,513.36","$49.45","0.759208764754%","","$49.45","Short Term","$6,513.36","No","","01/27/2026","","","","","","",""
"FUTU","FUTU HLDGS LTD ADR","01/27/2026","10/10/2025","1","$164.07","$157.40","$164.07","$157.40","$6.67","4.237611181703%","","$6.67","Short Term","$157.40","No","","01/27/2026","","","","","","",""
"IWM","ISHARES RUSSELL 2000 ETF","01/27/2026","01/21/2026","56","$263.51","$268.36","$14,756.64","$15,027.94","-$271.30","-1.805303987107%","","-$271.30","Short Term","$15,027.94","No","","01/27/2026","$27,097.07","-$482.41","-1.780303184071%","","","-$482.41","-1.7803031840711965%"
"IWM","ISHARES RUSSELL 2000 ETF","01/27/2026","01/17/2026","24","$263.51","$273.51","$6,324.28","$6,564.24","-$239.96","-3.655564086627%","","-$239.96","Short Term","$6,564.24","No","","01/27/2026","$27,097.07","-$482.41","-1.780303184071%","","","-$482.41","-1.7803031840711965%"
"IWM","ISHARES RUSSELL 2000 ETF","01/27/2026","01/16/2026","20","$263.51","$270.45","$5,270.23","$5,408.91","-$138.68","-2.56391768397%","","-$138.68","Short Term","$5,408.91","No","","01/27/2026","$27,097.07","-$482.41","-1.780303184071%","","","-$482.41","-1.7803031840711965%"
"IWM","ISHARES RUSSELL 2000 ETF","01/27/2026","01/14/2026","1","$263.51","$266.61","$263.51","$266.61","-$3.10","-1.162747083755%","","-$3.10","Short Term","$266.61","No","","01/27/2026","$27,097.07","-$482.41","-1.780303184071%","","","-$482.41","-1.7803031840711965%"
"NVDA","NVIDIA CORP","01/27/2026","12/02/2025","50","$189.51","$204.25","$9,475.74","$10,212.75","-$442.21","-4.32997968226%","","-$442.21","Short Term","$10,212.75","Yes","$294.80","01/27/2026","$9,205.25","$270.49","2.938431873116%","","","$270.49","2.9384318731158854%"
